Unit_ID,site,series,sand,silt,clay,oc,ph_h2o,estimated_om,theta_r,theta_s,silt_f_psa,silt_c_psa,cec7,cec82,bs7,ex_ca,ex_mg,ex_k,n_tot,estimated_c_to_n,ex_k_saturation,Ks,town,year,avg_N2O,cold_sum,sum_tmax,sum_rad,snow_sum,precip_sum,log_avg_N2O
INACRE_IT_A83,INA,Drummer,12.0761904797619,55.746428625,31.5464285654762,2.65404257021277,6.72499999375,5.0835652234963,0.0785114012553211,0.461187382072252,36.1081631816327,21.1224488755102,35.8216213540541,40.7076926538462,88.780487804878,26.1853659097561,9.64146344390244,0.429268292682927,0.427714285714286,12.3116674808646,0.0112371385945901,1.10360171498407,West_Lafayette,2004,5.8397203574086,-757,1644,49286.4,380,1198,1.76468291168828
INACRE_IT_A83,INA,Drummer,12.0761904797619,55.746428625,31.5464285654762,2.65404257021277,6.72499999375,5.0835652234963,0.0785114012553211,0.461187382072252,36.1081631816327,21.1224488755102,35.8216213540541,40.7076926538462,88.780487804878,26.1853659097561,9.64146344390244,0.429268292682927,0.427714285714286,12.3116674808646,0.0112371385945901,1.10360171498407,West_Lafayette,2005,8.94564980978292,-717,1631.5,50816,1264,1127,2.19116735935099
INACRE_IT_A83,INA,Drummer,12.0761904797619,55.746428625,31.5464285654762,2.65404257021277,6.72499999375,5.0835652234963,0.0785114012553211,0.461187382072252,36.1081631816327,21.1224488755102,35.8216213540541,40.7076926538462,88.780487804878,26.1853659097561,9.64146344390244,0.429268292682927,0.427714285714286,12.3116674808646,0.0112371385945901,1.10360171498407,West_Lafayette,2006,38.1498641365287,-666.5,1843,48019.2,416,1007,3.64152219642737
INACRE_IT_A83,INA,Drummer,12.0761904797619,55.746428625,31.5464285654762,2.65404257021277,6.72499999375,5.0835652234963,0.0785114012553211,0.461187382072252,36.1081631816327,21.1224488755102,35.8216213540541,40.7076926538462,88.780487804878,26.1853659097561,9.64146344390244,0.429268292682927,0.427714285714286,12.3116674808646,0.0112371385945901,1.10360171498407,West_Lafayette,2007,27.9717408220882,-842,1651.5,50924.8,1004,1083,3.33119474417908
INACRE_IT_A83,INA,Drummer,12.0761904797619,55.746428625,31.5464285654762,2.65404257021277,6.72499999375,5.0835652234963,0.0785114012553211,0.461187382072252,36.1081631816327,21.1224488755102,35.8216213540541,40.7076926538462,88.780487804878,26.1853659097561,9.64146344390244,0.429268292682927,0.427714285714286,12.3116674808646,0.0112371385945901,1.10360171498407,West_Lafayette,2008,13.7662532441815,-897.5,1430,52390.4,6768,1197,2.62222018015895
INACRE_IT_A83,INA,Drummer,12.0761904797619,55.746428625,31.5464285654762,2.65404257021277,6.72499999375,5.0835652234963,0.0785114012553211,0.461187382072252,36.1081631816327,21.1224488755102,35.8216213540541,40.7076926538462,88.780487804878,26.1853659097561,9.64146344390244,0.429268292682927,0.427714285714286,12.3116674808646,0.0112371385945901,1.10360171498407,West_Lafayette,2009,19.7517126594018,-1048,1582.5,50486.4,2008,1118,2.98324020451917
INACRE_IT_A83,INA,Drummer,12.0761904797619,55.746428625,31.5464285654762,2.65404257021277,6.72499999375,5.0835652234963,0.0785114012553211,0.461187382072252,36.1081631816327,21.1224488755102,35.8216213540541,40.7076926538462,88.780487804878,26.1853659097561,9.64146344390244,0.429268292682927,0.427714285714286,12.3116674808646,0.0112371385945901,1.10360171498407,West_Lafayette,2010,9.74373754996759,-791.5,1577,50316.8,2052,956,2.27662477607766
INTPAC_Bare_TB1,INT,Drummer,12.0761904797619,55.746428625,31.5464285654762,2.65404257021277,6.72499999375,5.0835652234963,0.0785114012553211,0.461187382072252,36.1081631816327,21.1224488755102,35.8216213540541,40.7076926538462,88.780487804878,26.1853659097561,9.64146344390244,0.429268292682927,0.427714285714286,12.3116674808646,0.0112371385945901,1.10360171498407,West_Lafayette,2005,5.98795336875,-696.5,1643.5,50576,1476,1168,1.78974967907716
INTPAC_Bare_TB1,INT,Drummer,12.0761904797619,55.746428625,31.5464285654762,2.65404257021277,6.72499999375,5.0835652234963,0.0785114012553211,0.461187382072252,36.1081631816327,21.1224488755102,35.8216213540541,40.7076926538462,88.780487804878,26.1853659097561,9.64146344390244,0.429268292682927,0.427714285714286,12.3116674808646,0.0112371385945901,1.10360171498407,West_Lafayette,2007,5.845065118875,-822,1703,51084.8,728,1058,1.76559773581578
INTPAC_NS_T101,INT,Octagon,29.7909095909091,49.7818180272727,20.1545456181818,1.37111111111111,6.09090909090909,2.36379555555556,0.044509710956718,0.419111443739623,34.5444450333333,17.1555552888889,13,12.7875000875,16.75,5.5249999375,1.55,0.35,NA,NA,0.018348624526555,1.51145635188253,West_Lafayette,2004,2.86048535650893,-760.5,1669.5,49942.4,568,1200,1.05099131550654
INTPAC_NS_T101,INT,Octagon,29.7909095909091,49.7818180272727,20.1545456181818,1.37111111111111,6.09090909090909,2.36379555555556,0.044509710956718,0.419111443739623,34.5444450333333,17.1555552888889,13,12.7875000875,16.75,5.5249999375,1.55,0.35,NA,NA,0.018348624526555,1.51145635188253,West_Lafayette,2005,11.5163737065956,-696.5,1643.5,50576,1476,1168,2.44376982329979
INTPAC_NS_T101,INT,Octagon,29.7909095909091,49.7818180272727,20.1545456181818,1.37111111111111,6.09090909090909,2.36379555555556,0.044509710956718,0.419111443739623,34.5444450333333,17.1555552888889,13,12.7875000875,16.75,5.5249999375,1.55,0.35,NA,NA,0.018348624526555,1.51145635188253,West_Lafayette,2006,29.3593922502207,-643.5,1872,48748.8,388,997,3.37961250360771
